Nr,Service,Fase ,S/M/L,Service omschrijving,Activiteiten,Deliverable,Klant,Doorloop,Sales: laag,Sales: hoog,Omvang bepalende factoren,Tijd: client lead,Tijd: content lead,Tijd: sr consultant,Tijd: design,Tijd: copy/trainer,Kostprijs,Verkoop (2.5)
1.1,Inspiratiesessie,Title,,,,,,,,,,,,,,,,
1.1,Inspiratiesessie: Cultural Archetypes,Definitie,M,"In een inspirerende sessie verdiepen we het inzicht van jouw leiderschapsteam in wat cultuur werkelijk betekent en hoe je als organisatie doelgericht en consistent kunt bouwen aan het gewenste culturele DNA. We introduceren de culturele archetypes en illustreren deze met concrete best practices die laten zien hoe toonaangevende bedrijven hun strategie en cultuur elkaar laten versterken.","- Korte intake call van 30 minuten met onze contactpersoon om de business-context, huidige cultuur en organisatie inrichting en de dynamiek binnen het leiderschapsteam te begrijpen
- 2 uur durende interactieve sessie met het volledige leiderschapsteam waarin we de basisprincipes van cultuurvorming en concrete best practices behandelen en dmv van interactie met de groep samen tot een eerste analyse van voor jullie relevante aandachtspunten komen.","Korte geschreven wrap up met algemene observaties en voor jullie relevante culturele aandachtspunten + uitkomsten van de interactieve survey.",Leiderschapsteam,1 week,"€ 1.000","€ 1.500",nvt,0,0,"0,75",0,0,"€ 487,50","€ 1.218,75"
1.2,Culturele Diagnose,Title,,,,,,,,,,,,,,,,
1.2,Culturele Diagnose,Definitie,S,"Op basis van een expert scan van al jullie bestaande documentatie en processen formuleren we concrete actiepunten en een solide basis voor jullie culturele roadmap.","- Intake gesprek met contactpersoon om alle input tav missie, DNA & functiebeschrijvingen en culturele practices tav leiderschap, team en rewards in kaart te brengen.
- Op basis van jullie input doen we een expert scan van al je huidige documentatie en processen tav jullie bedrijfsmissie/beoogd onderscheidend vermogen, de formulering en inbedding van jullie beoogde cultureel DNA en de inrichting van jullie aanpak en toepassing van jullie processen in leiderschap, teamontwikkeling en beloning.","Obv de expert scan formuleren we een rapport met de belangrijkste inzichten, aandachtspunten en concrete aanbevelingen tav van de definitie, inbedding en implementatie van jullie beoogde culturele DNA.",Contactpersoon,2 weken,"€ 3.500","€ 5.000","- Wat willen ze in de CD: alleen een expert scan, aangevuld met interviews en/of evt een survey.","0,5",2,"0,5",0,0,"€ 1.550","€ 3.875"
1.2,Culturele Diagnose,Definitie,M,"Op basis van een expert scan uit van al jullie bestaande documentatie en processen en een aantal interviews van specifieke sleutelspelers binnen jullie team formuleren we concrete actiepunten en een solide basis voor jullie culturele roadmap.","- Op basis van jullie input doen we een expert scan van al je huidige documentatie en processen.
- We doen een serie van 6 tot 8 kwalitatieve interviews (1-op-1) met sleutelspelers binnen jullie organisatie.","Obv de expert scan en de kwalitatieve interviews formuleren we een rapport met de belangrijkste inzichten, aandachtspunten en concrete aanbevelingen en verzorgen we een presentatie.",Contactpersoon + 6-8 sleutelspelers,3 weken,"€ 6.500","€ 8.500","Standaard interview-pakket; aantal interviews bepaalt scope.",1,4,1,0,0,"€ 3.100","€ 7.750"
1.2,Culturele Diagnose,Definitie,L,"Op basis van een expert scan van al jullie bestaande documentatie en processen, een aantal interviews van specifieke sleutelspelers binnen jullie team en de inzichten uit een bedrijfsbrede survey formuleren we concrete actiepunten en een solide basis voor jullie culturele roadmap.","- Expert scan, interviews en kwantitatieve bedrijfsbrede survey.","Rapport + presentatie obv expert scan, interviews en survey.",Contactpersoon + 6-8 sleutelspelers + hele team (via de survey),5 weken,"€ 10.500","€ 12.500","Aantal interviews + standaardisatie van de survey.",2,6,"1,5",0,0,"€ 4.875","€ 12.187,50"
1.3,Mission statement,Title,,,,,,,,,,,,,,,,
1.3,Mission statement,Definitie,M,"We helpen je leiderschapsteam om de drijfveren, ambitie en het beoogd onderscheidend vermogen van je bedrijf helder en precies te formuleren, zodat dit kunnen dienen als een richtinggevende doelstelling bij het formuleren van je winnende culturele DNA.","- Founder interview ter voorbereiding.
- Strategische sessie met leiderschapsteam.
- Oplevering & presentatie.","Compacte (branded) presentatie met marktdynamieken, onderscheidend vermogen en missie statement (why/how/what).",Leiderschapsteam,4 weken,"€ 4.500","€ 5.500","1-2 duidelijke leiders / klein LT.","0,75",2,2,0,0,"€ 2.637,50","€ 6.593,75"
1.3,Mission statement,Definitie,L,"We helpen je leiderschapsteam om de drijfveren, ambitie en het beoogd onderscheidend vermogen van je bedrijf helder en precies te formuleren, zodat dit kunnen dienen als een richtinggevende doelstelling bij het formuleren van je winnende culturele DNA.","- Meerdere leadership interviews.
- Twee strategische sessies met leiderschapsteam.
- Oplevering & presentatie.","Compacte (branded) presentatie met marktdynamieken, onderscheidend vermogen en missie statement.",Leiderschapsteam,4 weken,"€ 7.000","€ 8.500","Groter leiderschaps-/ownership-team.",1,3,2,0,0,"€ 3.250","€ 8.125"
1.4,Cultureel DNA,Title,,,,,,,,,,,,,,,,
